Row Labels,Count of Aboard,Count of cn/ln,Count of Aboard Passangers,Count of Aboard Crew,Count of Fatalities,Count of Fatalities Passangers,Count of Fatalities Crew
11/4/1938,1,1,1,1,1,1,1
11/14/1938,1,1,1,1,1,1,1
11/18/1938,1,1,1,1,1,1,1
11/26/1938,1,1,1,1,1,1,1
11/27/1938,1,1,1,1,1,1,1
11/29/1938,1,1,1,1,1,1,1
12/2/1938,1,1,1,1,1,1,1
12/8/1938,1,1,1,1,1,1,1
12/9/1938,1,1,1,1,1,1,1
12/12/1938,1,0,1,1,1,1,1
1/7/1939,1,1,1,1,1,1,1
1/13/1939,2,2,2,2,2,2,2
1/18/1939,1,1,1,1,1,1,1
1/21/1939,1,1,1,1,1,1,1
2/12/1939,1,1,1,1,1,1,1
2/24/1939,1,1,1,1,1,1,1
3/14/1939,1,1,1,1,1,1,1
3/16/1939,1,0,1,1,1,1,1
3/18/1939,1,1,1,1,1,1,1
3/26/1939,1,1,1,1,1,1,1
4/3/1939,1,1,1,1,1,1,1
5/1/1939,1,1,1,1,1,1,1
5/2/1939,1,1,1,1,1,1,1
5/8/1939,1,0,1,1,1,1,1
6/6/1939,1,1,1,1,1,1,1
6/10/1939,1,1,1,1,1,1,1
6/20/1939,1,1,1,1,1,1,1
7/20/1939,1,1,1,1,1,1,1
8/4/1939,1,1,1,1,1,1,1
8/13/1939,1,1,1,1,1,1,1
8/15/1939,1,1,1,1,1,1,1
8/28/1939,1,1,1,1,1,1,1
8/30/1939,1,1,1,1,1,1,1
9/26/1939,1,1,1,1,1,1,1
10/10/1939,1,0,1,1,1,1,1
11/20/1939,1,1,1,1,1,1,1
12/18/1939,1,1,1,1,1,1,1
12/21/1939,1,1,1,1,1,1,1
12/24/1939,1,1,1,1,1,1,1
1/22/1940,1,1,1,1,1,1,1
2/10/1940,1,1,1,1,1,1,1
2/27/1940,1,0,1,1,1,1,1
3/1/1940,1,1,1,1,1,1,1
3/16/1940,1,1,1,1,1,1,1
4/22/1940,1,1,1,1,1,1,1
6/2/1940,1,0,1,1,1,1,1
6/14/1940,1,1,1,1,1,1,1
6/20/1940,1,1,1,1,1,1,1
7/7/1940,1,1,1,1,1,1,1
8/9/1940,1,1,1,1,1,1,1
8/13/1940,1,0,1,1,1,1,1
8/22/1940,1,1,1,1,1,1,1
8/23/1940,1,1,1,1,1,1,1
8/31/1940,1,1,1,1,1,1,1
10/22/1940,1,1,1,1,1,1,1
10/29/1940,2,2,2,2,2,2,2
11/4/1940,2,2,2,2,2,2,2
11/8/1940,2,2,2,2,2,2,2
11/27/1940,1,1,1,1,1,1,1
12/4/1940,1,1,1,1,1,1,1
12/24/1940,1,1,1,1,1,1,1
1/10/1941,1,1,1,1,1,1,1
1/15/1941,1,1,1,1,1,1,1
1/17/1941,1,1,1,1,1,1,1
1/20/1941,1,1,1,1,1,1,1
1/23/1941,1,1,1,1,1,1,1
2/6/1941,1,1,1,1,1,1,1
2/26/1941,1,1,1,1,1,1,1
3/1/1941,1,1,1,1,1,1,1
3/28/1941,1,1,1,1,1,1,1
6/3/1941,1,1,1,1,1,1,1
6/18/1941,1,1,1,1,1,1,1
6/21/1941,1,0,1,1,1,1,1
7/30/1941,1,1,1,1,1,1,1
8/10/1941,1,0,1,1,1,1,1
8/14/1941,1,0,1,1,1,1,1
8/18/1941,1,1,1,1,1,1,1
8/27/1941,1,1,1,1,1,1,1
9/1/1941,2,1,2,2,2,2,2
10/3/1941,1,1,1,1,1,1,1
10/28/1941,1,1,1,1,1,1,1
10/30/1941,2,2,2,2,2,2,2
11/29/1941,1,1,1,1,1,1,1
12/11/1941,1,0,1,1,1,1,1
12/26/1941,1,1,1,1,1,1,1
12/29/1941,1,1,1,1,1,1,1
1/16/1942,1,1,1,1,1,1,1
1/20/1942,1,1,1,1,1,1,1
1/26/1942,1,1,1,1,1,1,1
1/30/1942,1,1,1,1,1,1,1
2/15/1942,1,1,1,1,1,1,1
2/19/1942,1,0,1,1,1,1,1
2/20/1942,1,1,1,1,1,1,1
2/28/1942,1,1,1,1,1,1,1
3/3/1942,2,2,2,2,2,2,2
3/14/1942,1,1,1,1,1,1,1
4/21/1942,1,0,1,1,1,1,1
5/1/1942,1,1,1,1,1,1,1
5/12/1942,1,1,1,1,1,1,1
5/19/1942,1,1,1,1,1,1,1
7/1/1942,1,1,1,1,1,1,1
7/7/1942,1,1,1,1,1,1,1
7/20/1942,1,1,1,1,1,1,1
8/13/1942,1,1,1,1,1,1,1
8/21/1942,1,0,1,1,1,1,1
8/22/1942,1,1,1,1,1,1,1
8/23/1942,1,0,1,1,1,1,1
9/24/1942,1,1,1,1,1,1,1
9/27/1942,1,1,1,1,1,1,1
9/28/1942,1,1,1,1,1,1,1
10/1/1942,2,1,2,2,2,2,2
10/3/1942,1,1,1,1,1,1,1
10/22/1942,2,2,2,2,2,2,2
10/23/1942,1,1,1,1,1,1,1
10/24/1942,1,1,1,1,1,1,1
10/30/1942,1,0,1,1,1,1,1
11/17/1942,1,1,1,1,1,1,1
12/12/1942,1,0,1,1,1,1,1
12/15/1942,1,1,1,1,1,1,1
12/19/1942,1,1,1,1,1,1,1
12/20/1942,1,1,1,1,1,1,1
1/9/1943,1,1,1,1,1,1,1
1/15/1943,1,1,1,1,1,1,1
1/18/1943,1,1,1,1,1,1,1
1/21/1943,1,1,1,1,1,1,1
1/22/1943,1,1,1,1,1,1,1
2/9/1943,1,0,1,1,1,1,1
2/18/1943,1,0,1,1,1,1,1
2/22/1943,1,1,1,1,1,1,1
3/11/1943,1,0,1,1,1,1,1
3/13/1943,1,0,1,1,1,1,1
3/27/1943,1,1,1,1,1,1,1
4/4/1943,1,1,1,1,1,1,1
4/22/1943,1,1,1,1,1,1,1
6/1/1943,1,1,1,1,1,1,1
6/7/1943,1,1,1,1,1,1,1
6/8/1943,1,1,1,1,1,1,1
6/14/1943,1,1,1,1,1,1,1
6/16/1943,1,0,1,1,1,1,1
6/30/1943,1,0,1,1,1,1,1
7/4/1943,1,0,1,1,1,1,1
7/28/1943,2,1,2,2,2,2,2
8/1/1943,1,0,1,1,1,1,1
8/7/1943,1,1,1,1,1,1,1
8/11/1943,1,0,1,1,1,1,1
8/14/1943,1,1,1,1,1,1,1
8/27/1943,2,2,2,2,2,2,2
9/10/1943,1,0,1,1,1,1,1
