,DATE,TOTAL_FATALITIES
864,1946-06-29,18.0
865,1946-06-29,2.0
866,1946-07-09,25.0
867,1946-07-11,5.0
868,1946-07-13,13.0
869,1946-07-17,30.0
870,1946-07-18,13.0
871,1946-07-20,20.0
872,1946-07-25,22.0
873,1946-07-26,9.0
874,1946-08-07,3.0
875,1946-08-09,4.0
876,1946-08-14,1.0
877,1946-08-20,8.0
878,1946-08-21,2.0
879,1946-08-24,6.0
880,1946-08-31,7.0
881,1946-09-03,22.0
882,1946-09-04,20.0
883,1946-09-05,21.0
884,1946-09-07,24.0
885,1946-09-07,4.0
886,1946-09-15,21.0
887,1946-09-17,1.0
888,1946-09-18,27.0
889,1946-09-19,25.0
890,1946-09-20,28.0
891,1946-09-25,19.0
892,1946-09-27,7.0
893,1946-09-27,25.0
894,1946-10-03,39.0
895,1946-10-06,21.0
896,1946-10-07,1.0
897,1946-10-08,2.0
898,1946-10-10,16.0
899,1946-10-17,13.0
900,1946-10-17,11.0
901,1946-10-23,1.0
902,1946-11-01,23.0
903,1946-11-05,13.0
904,1946-11-11,2.0
905,1946-11-13,11.0
906,1946-11-13,15.0
907,1946-11-14,26.0
908,1946-11-16,23.0
909,1946-11-26,22.0
910,1946-11-30,5.0
911,1946-12-04,24.0
912,1946-12-10,24.0
913,1946-12-10,32.0
914,1946-12-14,12.0
915,1946-12-17,7.0
916,1946-12-23,21.0
917,1946-12-24,12.0
918,1946-12-25,13.0
919,1946-12-25,20.0
920,1946-12-25,11.0
921,1946-12-28,2.0
922,1946-12-28,13.0
923,1946-12-28,2.0
924,1947-01-03,11.0
925,1947-01-05,43.0
926,1947-01-05,3.0
927,1947-01-11,8.0
928,1947-01-11,7.0
929,1947-01-12,18.0
930,1947-01-14,21.0
931,1947-01-22,17.0
932,1947-01-25,12.0
933,1947-01-25,19.0
934,1947-01-25,4.0
935,1947-01-26,22.0
936,1947-01-28,25.0
937,1947-02-01,19.0
938,1947-02-05,1.0
939,1947-02-06,11.0
940,1947-02-14,2.0
941,1947-02-15,53.0
942,1947-02-15,16.0
943,1947-02-21,21.0
944,1947-02-26,12.0
945,1947-03-05,23.0
946,1947-03-08,13.0
947,1947-03-08,9.0
948,1947-03-14,23.0
949,1947-03-17,8.0
950,1947-03-18,11.0
951,1947-04-08,27.0
952,1947-04-13,6.0
953,1947-04-22,10.0
954,1947-04-28,15.0
955,1947-05-04,11.0
956,1947-05-11,4.0
957,1947-05-16,22.0
958,1947-05-29,43.0
959,1947-05-29,40.0
960,1947-05-29,25.0
961,1947-05-30,53.0
962,1947-06-04,2.0
963,1947-06-11,5.0
964,1947-06-13,50.0
965,1947-06-19,14.0
966,1947-06-21,8.0
967,1947-07-01,13.0
968,1947-07-13,14.0
969,1947-07-15,1.0
970,1947-07-16,6.0
971,1947-07-25,2.0
972,1947-07-31,26.0
973,1947-08-02,11.0
974,1947-08-06,20.0
975,1947-08-08,3.0
976,1947-08-09,1.0
977,1947-08-13,3.0
978,1947-08-21,3.0
979,1947-08-23,10.0
980,1947-08-28,35.0
981,1947-10-08,0.0
982,1947-10-14,0.0
983,1947-10-16,41.0
984,1947-10-16,3.0
985,1947-10-24,53.0
986,1947-10-26,44.0
987,1947-10-26,18.0
988,1947-10-31,25.0
989,1947-11-02,5.0
990,1947-11-11,0.0
991,1947-11-13,2.0
992,1947-11-18,5.0
993,1947-11-18,20.0
994,1947-11-21,13.0
995,1947-11-27,2.0
996,1947-11-27,13.0
997,1947-11-27,22.0
998,1947-11-28,20.0
999,1947-11-30,8.0
1000,1947-12-10,23.0
1001,1947-12-11,20.0
1002,1947-12-18,9.0
1003,1947-12-23,25.0
1004,1947-12-27,23.0
1005,1947-12-28,5.0
1006,1948-01-06,16.0
1007,1948-01-06,1.0
1008,1948-01-07,18.0
1009,1948-01-08,9.0
1010,1948-01-11,32.0
1011,1948-01-13,5.0
1012,1948-01-20,11.0
1013,1948-01-28,32.0
1014,1948-01-30,31.0
1015,1948-02-07,1.0
1016,1948-02-10,19.0
